ATC_LVL5,ATC_LVL4,ATC_LVL3,ATC_LVL2,ATC_LVL1
"linseed, combinations",bulk-forming laxatives,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs
fusafungine,antibiotic throat preparations,throat preparations,throat preparations,respiratory system drugs
flurbiprofen,"propionic acid derivatives, antiinflammatory and antirheumatic products","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
inosine,other gynecological antiinfectives and antiseptics in atc,"antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones
dyclonine,local anesthetic throat preparations,throat preparations,throat preparations,respiratory system drugs
imatinib,"protein kinase inhibitors, antineoplastic drugs",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
triamcinolone,corticosteroid nasal preparations for topical use,decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs
tianeptine,other antidepressants in atc,antidepressants,psychoanaleptics,nervous system drugs
hydrochlorothiazide,"thiazides, plain","low-ceiling diuretics, thiazides",diuretics,cardiovascular system drugs
cefotaxime and beta-lactamase inhibitor,third-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
mercaptamine,other ophthalmologicals in atc,other ophthalmologicals in atc,ophthalmologicals,sensory organ drugs
netilmicin,"antibiotics, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
neltenexine,mucolytics,"expectorants, excl. combinations with cough suppressants",cough and cold preparations,respiratory system drugs
beclometasone,glucocorticoid inhalants for obstructive airway disease,"other drugs for obstructive airway diseases, inhalants in atc",drugs for obstructive airway diseases,respiratory system drugs
romosozumab,other drugs affecting bone structure and mineralization in atc,drugs affecting bone structure and mineralization,drugs for treatment of bone diseases,musculo-skeletal system drugs
eprosartan and diuretics,angiotensin ii antagonists and diuretics,"angiotensin ii antagonists, combinations",agents acting on the renin-angiotensin system,cardiovascular system drugs
cobalt (58co) cyanocobalamine,various diagnostic radiopharmaceuticals,other diagnostic radiopharmaceuticals in atc,diagnostic radiopharmaceuticals,various drug classes in atc
ranitidine,histamine h2 receptor antagonists for peptic ulcer and gord,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),drugs for acid related disorders,alimentary tract and metabolism drugs
organo-heparinoid,heparins or heparinoids for topical use,antivaricose therapy drugs,vasoprotectives,cardiovascular system drugs
indium (111in) pentetic acid,other central nervous system diagnostic radiopharmaceuticals in atc,central nervous system diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
propentofylline,"xanthine derivatives, psychostimulants, agents used for adhd and nootropics","psychostimulants, agents used for adhd and nootropics",psychoanaleptics,nervous system drugs
dexrazoxane,detoxifying agents for antineoplastic treatment,all other therapeutic products,all other therapeutic products,various drug classes in atc
"risedronic acid, calcium and colecalciferol, sequential","bisphosphonates, combinations affecting bone structure and mineralization",drugs affecting bone structure and mineralization,drugs for treatment of bone diseases,musculo-skeletal system drugs
cridanimod,other immunostimulants in atc,immunostimulants,immunostimulants,antineoplastic and immunomodulating agents
"dextropropoxyphene, combinations excl. psycholeptics",diphenylpropylamine derivative analgesics,opioid analgesics,analgesics,nervous system drugs
"ceftriaxone, combinations",third-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
clomethiazole,other hypnotics and sedatives in atc,hypnotics and sedatives,psycholeptics,nervous system drugs
bithionol,"preparations containing sulfur, anti-acne preparations for topical use",anti-acne preparations for topical use,anti-acne preparations,dermatologicals
iodine iolopride (123i),"iodine i-123 compounds, cns diagnostic radiopharmaceuticals",central nervous system diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
ascorbic acid,"organic acids, gynecological","antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones
benzalkonium,"quaternary ammonium compounds, antiseptics and disinfectants",antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals
pidotimod,other immunostimulants in atc,immunostimulants,immunostimulants,antineoplastic and immunomodulating agents
choline salicylate,"salicylic acid and derivatives, analgesics and antipyretics",other analgesics and antipyretics in atc,analgesics,nervous system drugs
amorolfine,other antifungals for topical use in atc,antifungals for topical use,antifungals for dermatological use,dermatologicals
tropicamide,anticholinergic mydriatics and cycloplegics,mydriatics and cycloplegics,ophthalmologicals,sensory organ drugs
bupropion and naltrexone,centrally acting antiobesity products,"antiobesity preparations, excl. diet products","antiobesity preparations, excl. diet products",alimentary tract and metabolism drugs
amlexanox,other agents for local oral treatment in atc,stomatological preparations,stomatological preparations,alimentary tract and metabolism drugs
varicella/zoster immunoglobulin,specific immunoglobulins,immunoglobulins,immune sera and immunoglobulins,antiinfectives for systemic use
flutemetamol (18f),other central nervous system diagnostic radiopharmaceuticals in atc,central nervous system diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
fenquizone,"sulfonamides, low-ceiling diuretics, plain","low-ceiling diuretics, excl. thiazides",diuretics,cardiovascular system drugs
technetium (99mtc) butedronic acid,"technetium 99m compounds, skeletal system diagnostic radiopharmaceuticals",skeleton diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
technetium (99mtc) etifenin,"technetium 99m compounds, hepatic and reticulo endothelial system diagnostic radiopharmaceuticals",hepatic and reticulo endothelial system diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
azithromycin,"antibiotics, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
natamycin,"antibiotics, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
"hemophilus influenzae b, combinations with toxoids",hemophilus influenzae b vaccines,bacterial vaccines,vaccines,antiinfectives for systemic use
calcium glubionate,calcium,calcium supplements,mineral supplements,alimentary tract and metabolism drugs
bicalutamide,anti-androgen hormone antagonists and related agents,hormone antagonists and related agents,endocrine therapy antineoplastic and immunomodulating agents,antineoplastic and immunomodulating agents
strontium ranelate and colecalciferol,other drugs affecting bone structure and mineralization in atc,drugs affecting bone structure and mineralization,drugs for treatment of bone diseases,musculo-skeletal system drugs
flosequinan,quinolone vasodilators used in cardiac diseases,vasodilators used in cardiac diseases,cardiac therapy drugs,cardiovascular system drugs
lysozyme,"antivirals, topical",chemotherapeutics for topical use,antibiotics and chemotherapeutics for dermatological use,dermatologicals
"phenacetin, combinations with psycholeptics",anilide analgesics and antipyretics,other analgesics and antipyretics in atc,analgesics,nervous system drugs
eliglustat,various alimentary tract and metabolism products,other alimentary tract and metabolism products in atc,other alimentary tract and metabolism products in atc,alimentary tract and metabolism drugs
bupivacaine,amide local anesthetics,local anesthetics,anesthetics,nervous system drugs
hematin,other hem products in atc,other hematological agents in atc,other hematological agents in atc,blood and blood forming organ drugs
flumequine,other quinolones in atc,quinolone antibacterials,antibacterials for systemic use,antiinfectives for systemic use
sulfanilamide,short-acting sulfonamides,sulfonamides and trimethoprim antibacterials for systemic use,antibacterials for systemic use,antiinfectives for systemic use
salsalate,"salicylic acid and derivatives, analgesics and antipyretics",other analgesics and antipyretics in atc,analgesics,nervous system drugs
amprenavir,"protease inhibitors, direct acting antivirals",direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
tetracycline,"tetracycline and derivatives, topical antibiotics",antibiotics for topical use,antibiotics and chemotherapeutics for dermatological use,dermatologicals
loperamide oxide,antipropulsives,antipropulsives,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
digitalis leaves,digitalis glycosides,cardiac glycosides,cardiac therapy drugs,cardiovascular system drugs
amobarbital,"barbiturates, hypnotics and sedatives, plain",hypnotics and sedatives,psycholeptics,nervous system drugs
theobromine,"xanthine derivatives, low-ceiling diuretics","low-ceiling diuretics, excl. thiazides",diuretics,cardiovascular system drugs
colfosceril palmitate,lung surfactants,other respiratory system products in atc,other respiratory system products in atc,respiratory system drugs
albumin tannate,other antidiarrheals in atc,other antidiarrheals in atc,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
